iter	Logloss
0	0.4479084179
1	0.3521935959
2	0.281740725
3	0.2387289418
4	0.2061756303
5	0.1949489816
6	0.183325033
7	0.1711960899
8	0.1648642081
9	0.161325892
10	0.1551281311
11	0.1532623595
12	0.1503894443
13	0.1482338252
14	0.1442373679
15	0.1408727753
16	0.1398655957
17	0.1361305431
18	0.1338386787
19	0.1328121997
20	0.1317902856
21	0.1308280955
22	0.1303676272
23	0.1298271642
24	0.1288703782
25	0.1286288203
26	0.1281928272
27	0.1279584958
28	0.1271346448
29	0.1262640006
30	0.1254196266
31	0.1239740676
32	0.1233518843
33	0.1225861639
34	0.1220661904
35	0.121242807
36	0.1207840909
37	0.1196603771
38	0.1192295976
39	0.1188635763
40	0.1183123069
41	0.1180780425
42	0.117676756
43	0.1170443739
44	0.1165348292
45	0.1159093604
46	0.1147880775
47	0.1143140151
48	0.1141947832
49	0.1137480215
50	0.1133400988
51	0.1125303962
52	0.1118224555
53	0.1114526167
54	0.1112966721
55	0.110687497
56	0.1104145523
57	0.1096717402
58	0.1092586186
59	0.1086294868
60	0.1083883185
61	0.1079970334
62	0.1077855452
63	0.1075293412
64	0.1073172412
65	0.1070015886
66	0.1066361173
67	0.1060704944
68	0.1059048727
69	0.1056458757
70	0.1051676706
71	0.104817132
72	0.1045922015
73	0.1044463579
74	0.1040658509
75	0.1038272405
76	0.1036525397
77	0.1032943146
78	0.1030849364
79	0.1022535499
80	0.1018808341
81	0.1014353989
82	0.1011919096
83	0.1010036197
84	0.1003646769
85	0.1000949379
86	0.09979837788
87	0.09944859183
88	0.09925087111
89	0.09896001369
90	0.09861803937
91	0.09829678965
92	0.09810244023
93	0.09770682204
94	0.09745910332
95	0.09722838868
96	0.09701895809
97	0.09688371749
98	0.09657769739
99	0.09623245988
100	0.09590534364
101	0.09572837241
102	0.095526781
103	0.09538388055
104	0.09495685155
105	0.09476985222
106	0.09457034418
107	0.09442290119
108	0.0942790277
109	0.0940967657
110	0.09392573735
111	0.09370843668
112	0.09359674797
113	0.09336119648
114	0.09319672539
115	0.09309864286
116	0.09283525263
117	0.09268516082
118	0.09255627927
119	0.0922338214
120	0.09209257099
121	0.09192890304
122	0.0917519524
123	0.09148710519
124	0.09139796531
125	0.09126870965
126	0.0909697539
127	0.09085704583
128	0.09064888173
129	0.09046161555
130	0.09030184145
131	0.09013244255
132	0.08993973545
133	0.08980189494
134	0.08967067176
135	0.08953794183
136	0.0894808829
137	0.0893048847
138	0.08915425918
139	0.08902450327
140	0.08890169932
141	0.08878045703
142	0.08857928865
143	0.08842684921
144	0.0883239547
145	0.08821447892
146	0.08807477644
147	0.08802362436
148	0.08789438585
149	0.08767572002
150	0.08758384037
151	0.08738550786
152	0.08731788284
153	0.08712260586
154	0.08695213268
155	0.08688317853
156	0.08678710728
157	0.08639333476
158	0.08613009556
159	0.08605169766
160	0.08592520407
161	0.08587216599
162	0.08577154619
163	0.08559853316
164	0.08554474428
165	0.08550177375
166	0.08546450585
167	0.08530909411
168	0.08522225209
169	0.08514749836
170	0.08508556396
171	0.08502944546
172	0.08496650885
173	0.08488900162
174	0.08479814562
175	0.08468745397
176	0.08457310358
177	0.08452993656
178	0.08447897239
179	0.08425099495
180	0.08417638193
181	0.08416365097
182	0.08405878294
183	0.08401905414
184	0.08393418566
185	0.08382128967
186	0.0836300404
187	0.08353641804
188	0.08347182796
189	0.08343729039
190	0.08332234365
191	0.0833156963
192	0.08311202583
193	0.08304707451
194	0.08294627881
195	0.08278878714
196	0.08264681253
197	0.08253730586
198	0.08248627133
199	0.08245436885
200	0.08234789712
201	0.08229748725
202	0.08221782201
203	0.08214464795
204	0.08205179355
205	0.08197938402
206	0.0818705123
207	0.08179811993
208	0.08176082029
209	0.08161960506
210	0.08152231194
211	0.0814070623
212	0.08138200539
213	0.08134187073
214	0.08130463372
215	0.08123999131
216	0.08114684259
217	0.08104238128
218	0.08100317075
219	0.08093997672
220	0.08089286437
221	0.08082571557
222	0.08080375709
223	0.08076841209
224	0.08074969534
225	0.08063492793
226	0.08049970536
227	0.0804614241
228	0.08027964604
229	0.08019389547
230	0.08014066947
231	0.08005406514
232	0.08003722496
233	0.0798934287
234	0.07979681087
235	0.07969779734
236	0.0795573372
237	0.0794889365
238	0.07939137052
239	0.07929191682
240	0.07918372983
241	0.07914391351
242	0.07912545589
243	0.07901495045
244	0.07894392324
245	0.07884463257
246	0.07864699079
247	0.07862990006
248	0.07857627678
249	0.07850130938
250	0.07844447698
251	0.07841563947
252	0.07832391942
253	0.07828695356
254	0.07814044928
255	0.07811969551
256	0.07806233025
257	0.07792916786
258	0.07788534014
259	0.07782610346
260	0.0777581215
261	0.07769051965
262	0.07763736658
263	0.07758647535
264	0.07754411661
265	0.0775014507
266	0.07744855848
267	0.07739999086
268	0.07729670079
269	0.07724584817
270	0.07719205843
271	0.07714917199
272	0.07711435985
273	0.07698981405
274	0.07696453061
275	0.07693181555
276	0.07685855655
277	0.0768399685
278	0.07679219802
279	0.07676522678
280	0.07669500186
281	0.07661874395
282	0.07656699466
283	0.07646317947
284	0.07642347041
285	0.07638934556
286	0.07632826922
287	0.07629126475
288	0.07627159727
289	0.07622165591
290	0.07613415234
291	0.07610733726
292	0.07601291262
293	0.07600206509
294	0.07597374585
295	0.07595788127
296	0.0759121358
297	0.07581653905
298	0.07574592543
299	0.07566317119
300	0.0756076988
301	0.07554489004
302	0.07551076091
303	0.07538058112
304	0.07526705532
305	0.07524966169
306	0.07515961227
307	0.07511715743
308	0.07507318813
309	0.0750412007
310	0.07502664466
311	0.07491010794
312	0.07483668419
313	0.07477020983
314	0.07471001042
315	0.07466944416
316	0.07462583867
317	0.07461241783
318	0.07454617772
319	0.07448282925
320	0.07440486123
321	0.07432685204
322	0.07424603185
323	0.0741842562
324	0.07415185519
325	0.07410231196
326	0.07403297598
327	0.07402403076
328	0.07399331154
329	0.07393081168
330	0.07387650882
331	0.07383640763
332	0.07377361861
333	0.07364707612
334	0.07360130147
335	0.07359006266
336	0.07350690857
337	0.07332753478
338	0.07328120325
339	0.07324663566
340	0.07321754931
341	0.07316164103
342	0.07309642973
343	0.07303000599
344	0.07299864151
345	0.07295220873
346	0.07269994576
347	0.07264752032
348	0.07241043634
349	0.07236454156
350	0.07233697655
351	0.07232481105
352	0.0722777476
353	0.07226072207
354	0.07221579089
355	0.0721817836
356	0.07208130882
357	0.07202559789
358	0.07195731989
359	0.071896537
360	0.07179970638
361	0.07174292202
362	0.07167115861
363	0.0716190395
364	0.07158875274
365	0.07155825489
366	0.07153131626
367	0.07147624716
368	0.07145241726
369	0.07140945703
370	0.07136464512
371	0.07122891715
372	0.0712205923
373	0.07119314398
374	0.07118064985
375	0.07115008422
376	0.07109721688
377	0.07106287667
378	0.07106283549
379	0.07097793611
380	0.07097018873
381	0.0709206292
382	0.07088277697
383	0.07082536624
384	0.07079221186
385	0.07076498663
386	0.07074053636
387	0.070701083
388	0.07063780146
389	0.07056910216
390	0.07055191875
