iter	Passed	Remaining
163	7935	40451
164	7973	40349
165	8007	40230
166	8045	40133
167	8072	39978
168	8137	40015
169	8232	40193
170	8282	40151
171	8320	40054
172	8356	39945
173	8383	39796
174	8411	39652
175	8447	39549
176	8472	39396
177	8500	39257
178	8530	39127
179	8572	39050
180	8596	38896
181	8625	38769
182	8656	38646
183	8680	38497
184	8701	38332
185	8734	38223
186	8761	38090
187	8805	38032
188	8836	37918
189	8861	37779
190	8885	37636
191	8906	37483
192	8935	37362
193	8961	37229
194	8996	37137
195	9073	37220
196	9113	37148
197	9141	37029
198	9177	36938
199	9202	36809
200	9234	36706
201	9266	36607
202	9288	36467
203	9313	36340
204	9335	36204
205	9364	36093
206	9387	35962
207	9439	35941
208	9706	36735
209	9771	36760
210	9795	36630
211	9851	36616
212	9885	36525
213	9937	36500
214	10022	36594
215	10077	36579
216	10103	36457
217	10152	36417
218	10180	36304
219	10203	36175
220	10222	36032
221	10247	35911
222	10271	35789
223	10296	35669
224	10318	35543
225	10356	35469
226	10399	35411
227	10434	35332
228	10483	35295
229	10514	35200
230	10542	35095
231	10581	35027
232	10603	34905
233	10631	34801
234	10679	34763
235	10734	34751
236	10766	34662
237	10792	34553
238	10821	34456
239	10858	34383
240	10911	34365
241	10933	34244
242	10967	34167
243	11001	34085
244	11028	33985
245	11060	33901
246	11092	33816
247	11125	33736
248	11188	33746
249	11213	33640
250	11245	33556
251	11279	33479
252	11317	33416
253	11349	33333
254	11383	33257
255	11409	33159
256	11439	33071
257	11474	32999
258	11494	32884
259	11514	32770
260	11534	32657
261	11567	32582
262	11592	32486
263	11618	32390
264	11640	32284
265	11662	32180
266	11696	32111
267	11726	32028
268	11751	31934
269	11778	31846
270	11804	31753
271	11825	31650
272	11845	31543
273	11878	31473
274	11907	31393
275	11932	31300
276	11961	31220
277	11990	31141
278	12017	31056
279	12041	30964
280	12085	30922
281	12110	30833
282	12135	30746
283	12156	30647
284	12194	30594
285	12218	30503
286	12238	30405
287	12263	30317
288	12297	30255
289	12320	30165
290	12340	30067
291	12373	30001
292	12405	29934
293	12430	29849
294	12453	29761
295	12488	29701
296	12511	29614
297	12534	29526
298	12560	29447
299	12594	29387
300	12614	29295
301	12637	29207
302	12663	29129
303	12697	29070
304	12717	28978
305	12739	28892
306	12767	28819
307	12810	28781
308	12871	28784
309	12910	28735
310	12933	28653
311	12963	28585
312	12995	28524
313	13018	28442
314	13043	28363
315	13066	28284
316	13091	28206
317	13118	28133
318	13151	28075
319	13196	28041
320	13219	27962
321	13246	27890
322	13271	27817
323	13307	27765
324	13327	27680
325	13350	27602
326	13376	27530
327	13411	27477
328	13446	27424
329	13509	27428
330	13548	27383
331	13583	27330
332	13613	27268
333	13641	27201
334	13662	27121
335	13696	27067
336	13720	26992
337	13743	26917
338	13761	26833
339	13781	26752
340	13808	26685
341	13834	26617
342	13875	26578
343	13910	26526
344	13942	26471
345	13973	26412
346	14000	26346
347	14038	26302
348	14058	26223
349	14102	26189
350	14140	26146
351	14178	26100
352	14221	26066
353	14243	25992
354	14272	25931
355	14300	25870
356	14327	25805
357	14355	25743
358	14389	25692
359	14443	25677
360	14486	25641
361	14522	25594
362	14557	25545
363	14597	25505
364	14635	25462
365	14678	25427
366	14739	25421
367	14809	25433
368	14851	25396
369	14877	25332
370	14910	25279
371	14937	25217
372	14965	25155
373	14982	25077
374	15024	25041
375	15047	24973
376	15070	24905
377	15106	24858
378	15152	24828
379	15186	24777
380	15228	24741
381	15268	24700
382	15297	24643
383	15328	24589
384	15352	24524
385	15374	24456
386	15393	24383
387	15428	24335
388	15453	24272
389	15482	24215
390	15514	24164
391	15564	24140
392	15588	24076
393	15624	24030
394	15655	23978
395	15687	23926
396	15717	23872
397	15752	23826
398	15779	23768
399	15813	23720
400	15848	23673
401	15869	23607
402	15894	23546
403	15937	23512
404	15961	23449
405	15990	23394
406	16022	23345
407	16052	23292
408	16076	23230
409	16105	23176
410	16133	23120
411	16160	23063
412	16186	23005
413	16218	22956
414	16256	22916
415	16289	22868
416	16333	22835
417	16362	22782
418	16383	22718
419	16414	22667
420	16441	22611
421	16467	22554
422	16491	22495
423	16528	22454
424	16558	22402
425	16582	22343
426	16606	22284
427	16639	22238
428	16672	22190
429	16698	22134
430	16722	22077
431	16753	22027
432	16784	21978
433	16807	21919
434	16840	21872
435	16869	21822
436	16891	21762
437	16913	21701
438	16941	21649
439	16966	21593
440	16990	21536
441	17020	21487
442	17053	21441
443	17080	21388
444	17104	21332
445	17136	21285
446	17169	21240
447	17195	21187
448	17220	21132
449	17252	21086
450	17276	21030
451	17311	20988
452	17363	20966
453	17404	20931
454	17451	20903
455	17478	20851
456	17521	20818
457	17569	20792
458	17604	20749
459	17665	20737
460	17687	20680
461	17710	20624
462	17751	20589
463	17773	20531
464	17800	20479
465	17827	20429
466	17860	20384
467	17885	20331
468	17909	20276
469	17952	20244
470	17975	20189
471	17995	20130
472	18018	20075
473	18046	20026
474	18076	19979
475	18101	19927
476	18124	19871
477	18172	19845
478	18205	19802
479	18242	19762
480	18303	19749
481	18350	19721
482	18367	19660
483	18396	19613
484	18433	19573
485	18474	19539
486	18516	19505
487	18563	19476
488	18596	19432
489	18629	19390
490	18664	19348
491	18693	19301
492	18728	19260
493	18793	19249
494	18827	19207
495	18881	19185
496	18946	19175
497	18993	19146
498	19033	19109
499	19067	19067
500	19092	19016
501	19112	18959
502	19138	18909
503	19171	18867
504	19195	18815
505	19226	18770
506	19261	18729
507	19299	18691
508	19358	18673
509	19397	18637
510	19443	18606
511	19489	18575
512	19526	18536
513	19577	18511
514	19607	18465
515	19633	18416
516	19669	18375
517	19692	18324
518	19722	18278
519	19762	18242
520	19789	18194
521	19818	18147
522	19871	18123
523	19894	18071
524	19923	18026
525	19959	17986
526	19985	17937
527	20005	17883
528	20019	17824
529	20043	17774
530	20074	17730
531	20098	17680
532	20121	17629
533	20155	17588
534	20188	17547
535	20207	17493
536	20225	17438
537	20251	17390
538	20279	17344
539	20297	17290
540	20320	17240
541	20341	17189
542	20390	17161
543	20422	17119
544	20458	17079
545	20488	17036
546	20517	16991
547	20542	16944
548	20573	16900
549	20593	16849
550	20617	16800
551	20636	16748
552	20661	16701
553	20689	16656
554	20723	16615
555	20783	16597
556	20817	16557
557	20846	16512
558	20870	16464
559	20896	16418
560	20917	16368
561	20941	16320
562	20976	16281
563	21001	16235
564	21033	16193
565	21068	16155
566	21085	16102
567	21115	16059
568	21137	16011
569	21165	15966
570	21194	15923
571	21217	15876
572	21249	15835
573	21280	15793
574	21299	15742
575	21331	15702
576	21372	15668
577	21397	15622
578	21423	15577
579	21441	15526
580	21461	15477
581	21477	15425
582	21491	15372
583	21511	15323
584	21531	15274
585	21558	15230
586	21580	15183
587	21594	15130
588	21612	15081
589	21638	15036
590	21663	14991
591	21697	14953
592	21736	14918
593	21763	14875
594	21804	14841
595	21826	14795
596	21861	14757
597	21893	14717
598	21911	14668
599	21940	14626
600	21974	14588
601	22006	14549
602	22023	14499
603	22056	14460
604	22087	14420
605	22110	14375
606	22138	14333
607	22161	14288
608	22190	14247
609	22209	14199
610	22225	14149
611	22240	14099
612	22257	14051
613	22277	14004
614	22293	13955
615	22306	13905
616	22322	13856
617	22347	13813
618	22379	13774
619	22399	13728
620	22417	13681
621	22437	13635
622	22460	13591
623	22486	13549
624	22506	13503
625	22535	13463
626	22559	13420
627	22586	13379
628	22606	13333
629	22657	13306
630	22681	13263
631	22712	13225
632	22739	13183
633	22777	13148
634	22809	13111
635	22824	13063
636	22849	13020
637	22887	12986
638	22915	12946
639	22935	12901
640	22965	12861
641	23000	12826
642	23018	12780
643	23035	12733
644	23060	12692
645	23091	12653
646	23119	12614
647	23147	12573
648	23186	12540
649	23215	12500
650	23279	12480
651	23315	12444
652	23342	12404
653	23419	12390
654	23463	12358
655	23519	12333
656	23574	12307
657	23600	12266
658	23628	12226
659	23688	12202
660	23746	12178
661	23785	12144
662	23818	12106
663	23846	12066
664	23909	12044
665	23943	12007
666	24003	11983
667	24055	11955
668	24116	11932
669	24173	11906
670	24196	11863
671	24224	11823
672	24240	11778
673	24273	11740
674	24307	11703
675	24331	11662
676	24371	11627
677	24398	11587
678	24427	11548
679	24459	11510
680	24486	11470
681	24511	11428
682	24538	11389
683	24568	11350
684	24602	11313
685	24639	11278
686	24674	11241
687	24732	11215
688	24770	11181
689	24810	11146
690	24835	11106
691	24867	11068
692	24904	11032
693	24929	10992
694	24955	10951
695	24984	10912
696	25014	10874
697	25036	10832
698	25082	10800
699	25117	10764
700	25146	10726
701	25189	10693
702	25218	10654
703	25247	10615
704	25282	10579
705	25310	10540
706	25331	10498
707	25364	10461
708	25389	10420
709	25427	10385
710	25450	10344
711	25483	10308
712	25519	10272
713	25551	10234
714	25588	10199
715	25632	10167
716	25741	10160
717	25794	10131
718	25819	10090
719	25834	10046
720	25864	10008
721	25897	9971
722	25913	9928
723	25933	9886
724	25964	9848
725	25979	9805
726	26011	9767
727	26048	9732
728	26094	9700
729	26130	9664
730	26198	9640
731	26330	9640
732	26388	9612
733	26440	9581
734	26477	9546
735	26503	9506
736	26535	9469
737	26550	9425
738	26572	9384
739	26597	9345
740	26620	9304
741	26650	9266
742	26667	9224
743	26687	9182
744	26702	9139
745	26728	9100
746	26753	9061
747	26782	9023
748	26840	8994
749	26870	8956
750	26902	8919
751	26943	8885
752	26985	8851
753	27028	8818
754	27067	8783
755	27101	8746
756	27133	8710
757	27151	8668
758	27184	8631
759	27209	8592
760	27243	8556
761	27264	8515
762	27294	8478
763	27331	8442
764	27375	8409
765	27399	8370
766	27437	8334
767	27462	8296
768	27492	8258
769	27510	8217
770	27531	8177
771	27564	8140
772	27583	8100
773	27597	8058
774	27628	8021
775	27658	7983
776	27693	7948
777	27713	7907
778	27736	7868
779	27754	7828
780	27782	7790
781	27814	7754
782	27843	7716
783	27877	7680
784	28041	7680
785	28088	7647
786	28167	7623
787	28259	7602
788	28301	7568
789	28433	7558
790	28522	7536
791	28595	7509
792	28635	7474
793	28666	7437
794	28692	7398
795	28719	7360
796	28749	7322
797	28776	7284
798	28802	7245
799	28823	7205
800	28847	7166
801	28877	7129
802	28906	7091
803	29020	7074
804	29203	7074
805	29292	7050
806	29358	7021
807	29465	7001
808	29539	6974
809	29610	6945
810	29726	6927
811	29961	6936
812	30056	6913
813	30195	6899
814	30307	6879
815	30460	6868
816	30531	6838
817	30637	6816
818	30706	6786
819	30856	6773
820	30929	6743
821	31086	6731
822	31195	6709
823	31224	6669
824	31255	6629
825	31268	6586
826	31287	6545
827	31308	6503
828	31321	6460
829	31345	6420
830	31374	6380
831	31413	6343
832	31490	6313
833	31521	6274
834	31549	6234
835	31624	6203
836	31662	6166
837	31693	6126
838	31750	6092
839	31805	6058
840	31823	6016
841	31856	5977
842	31916	5944
843	31955	5906
844	31985	5867
845	32016	5827
846	32047	5789
847	32076	5749
848	32112	5711
849	32250	5691
850	32309	5656
851	32337	5617
852	32352	5575
853	32383	5536
854	32401	5495
855	32430	5455
856	32451	5414
857	32482	5375
858	32516	5337
859	32540	5297
860	32571	5258
861	32603	5219
862	32634	5180
863	32662	5141
864	32688	5101
865	32716	5062
866	32739	5022
867	32768	4983
868	32796	4944
869	32820	4904
870	32846	4864
871	32870	4825
872	32898	4785
873	32964	4752
874	33028	4718
875	33054	4678
876	33087	4640
877	33111	4600
878	33165	4565
879	33251	4534
880	33293	4497
881	33319	4457
882	33347	4418
883	33369	4378
884	33396	4339
885	33433	4301
886	33462	4262
887	33481	4222
888	33497	4182
889	33528	4143
890	33543	4103
891	33566	4064
892	33591	4024
893	33605	3984
894	33639	3946
895	33664	3907
896	33694	3869
897	33724	3830
898	33756	3792
899	33780	3753
900	33803	3714
901	33829	3675
902	33850	3636
903	33873	3597
904	33897	3558
905	33916	3518
906	33939	3479
907	33960	3440
908	33985	3402
909	34008	3363
910	34031	3324
911	34059	3286
912	34085	3248
913	34096	3208
914	34124	3169
915	34143	3131
916	34157	3091
917	34174	3052
918	34190	3013
919	34218	2975
920	34240	2937
921	34256	2898
922	34291	2860
923	34319	2822
924	34345	2784
925	34373	2746
926	34399	2708
927	34421	2670
928	34453	2633
929	34486	2595
930	34511	2557
931	34540	2520
932	34559	2481
933	34588	2444
934	34620	2406
935	34647	2369
936	34673	2331
937	34689	2292
938	34711	2254
939	34741	2217
940	34773	2180
941	34799	2142
942	34820	2104
943	34847	2067
944	34872	2029
945	34891	1991
946	34915	1954
947	34939	1916
948	34958	1878
949	34980	1841
950	35009	1803
951	35034	1766
952	35064	1729
953	35078	1691
954	35099	1653
955	35124	1616
956	35148	1579
957	35176	1542
958	35194	1504
959	35244	1468
960	35279	1431
961	35297	1394
962	35323	1357
963	35337	1319
964	35363	1282
965	35382	1245
966	35408	1208
967	35433	1171
968	35463	1134
969	35497	1097
970	35558	1061
971	35577	1024
972	35595	987
973	35623	950
974	35644	913
975	35695	877
976	35729	841
977	35757	804
978	35778	767
979	35805	730
980	35825	693
981	35839	656
982	35859	620
983	35875	583
984	35894	546
985	35928	510
986	35960	473
987	36041	437
988	36098	401
989	36174	365
990	36222	328
991	36261	292
992	36311	255
993	36344	219
994	36423	183
995	36535	146
996	36608	110
997	36734	73
998	36777	36
999	36873	0
